job_role,industry,accurate_risk_percent,accurate_skill_growth
Accountant,Education,43.99930379746836,5.003987341772151
Accountant,Energy,43.41016949152542,4.9635028248587565
Accountant,Finance,45.91887755102041,4.844234693877551
Accountant,Healthcare,46.646850828729285,4.432707182320442
Accountant,Manufacturing,47.91032967032967,4.1219230769230775
Accountant,Retail,45.01228915662651,4.535
Accountant,Technology,43.468932584269666,3.831460674157303
Accountant,Transportation,43.15367231638418,4.807740112994351
Customer Support Rep,Education,60.42796875,5.2878125
Customer Support Rep,Energy,61.456567164179106,5.863781094527362
Customer Support Rep,Finance,61.63689119170984,4.691554404145078
Customer Support Rep,Healthcare,58.448736263736265,5.119725274725274
Customer Support Rep,Manufacturing,58.41867021276595,3.887234042553192
Customer Support Rep,Retail,60.516666666666666,4.181
Customer Support Rep,Technology,59.524247311827956,4.954193548387097
Customer Support Rep,Transportation,58.20547368421053,4.011526315789474
Data Analyst,Education,34.72344086021506,4.194301075268817
Data Analyst,Energy,34.188,4.107684210526316
Data Analyst,Finance,35.17900497512438,6.430497512437811
Data Analyst,Healthcare,37.23881516587678,4.7700000000000005
Data Analyst,Manufacturing,34.11468531468531,6.356223776223777
Data Analyst,Retail,34.43628712871287,4.511732673267327
Data Analyst,Technology,37.65121212121212,6.234646464646465
Data Analyst,Transportation,35.5536,5.2889
Financial Analyst,Education,45.736918604651166,5.740116279069767
Financial Analyst,Energy,44.370693641618494,4.653468208092486
Financial Analyst,Finance,45.397659574468086,7.138457446808511
Financial Analyst,Healthcare,44.64447513812154,4.829558011049723
Financial Analyst,Manufacturing,44.984712643678165,5.531551724137931
Financial Analyst,Retail,44.91683168316832,5.691386138613862
Financial Analyst,Technology,43.6714201183432,4.520059171597633
Financial Analyst,Transportation,43.86313513513514,4.872918918918919
HR Manager,Education,46.287486631016044,6.048877005347594
HR Manager,Energy,45.20775,5.81775
HR Manager,Finance,45.84443349753695,4.172906403940887
HR Manager,Healthcare,43.625380116959064,4.103567251461988
HR Manager,Manufacturing,47.53523529411765,5.836117647058823
HR Manager,Retail,45.75779569892474,4.644569892473118
HR Manager,Technology,43.126060606060605,5.121464646464646
HR Manager,Transportation,43.4813440860215,5.475268817204301
Marketing Specialist,Education,43.28789473684211,6.121947368421053
Marketing Specialist,Energy,44.332752808988765,5.258595505617977
Marketing Specialist,Finance,46.46413612565445,5.311361256544503
Marketing Specialist,Healthcare,44.0363829787234,4.589148936170213
Marketing Specialist,Manufacturing,45.696941747572815,4.8290776699029125
Marketing Specialist,Retail,46.05405,5.5007
Marketing Specialist,Technology,47.12566502463054,5.634088669950739
Marketing Specialist,Transportation,46.231435897435894,5.186410256410256
Mechanical Engineer,Education,45.3354054054054,4.463459459459459
Mechanical Engineer,Energy,47.28374358974359,4.275076923076923
Mechanical Engineer,Finance,44.46443243243243,3.453675675675676
Mechanical Engineer,Healthcare,47.0321387283237,3.999537572254335
Mechanical Engineer,Manufacturing,46.09789473684211,6.163789473684211
Mechanical Engineer,Retail,43.16307317073171,4.687463414634146
Mechanical Engineer,Technology,44.54874345549738,4.190837696335079
Mechanical Engineer,Transportation,45.50247524752475,4.0919306930693065
Software Engineer,Education,35.10773195876288,6.029381443298969
Software Engineer,Energy,35.453806451612905,4.444
Software Engineer,Finance,33.20477157360406,5.5351269035533
Software Engineer,Healthcare,35.27995,4.885
Software Engineer,Manufacturing,32.73061797752809,5.026685393258427
Software Engineer,Retail,36.23342245989305,6.369465240641711
Software Engineer,Technology,35.18546511627907,5.596046511627907
Software Engineer,Transportation,35.69878947368421,6.604
Teacher,Education,42.4832972972973,5.568648648648649
Teacher,Energy,46.30946078431372,4.813088235294118
Teacher,Finance,45.1748717948718,5.759897435897436
Teacher,Healthcare,42.570533980582525,4.610533980582524
Teacher,Manufacturing,47.406336633663365,5.388267326732674
Teacher,Retail,47.457215189873416,5.16873417721519
Teacher,Technology,43.57961352657004,4.641690821256039
Teacher,Transportation,46.54544041450777,4.928756476683938
Truck Driver,Education,59.95824242424243,4.437818181818182
Truck Driver,Energy,63.26217391304348,4.800724637681159
Truck Driver,Finance,61.476683937823836,3.972538860103627
Truck Driver,Healthcare,60.80743169398907,4.5484153005464485
Truck Driver,Manufacturing,60.03005291005291,5.8533333333333335
Truck Driver,Retail,60.301564245810056,4.37608938547486
Truck Driver,Technology,58.588781725888325,4.3561928934010155
Truck Driver,Transportation,61.23005434782608,5.335869565217391
